x,y,dt_placement,month,year,region,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_day,lst_night,lst_jan_mean,lst_feb_mean,lst_mar_mean,lst_apr_mean,acc_rainfall_1week,acc_rainfall_2week,acc_rainfall_jan
-3.053472,5.290972,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.052417,5.290222,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.050472,5.288528,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
-3.057361,5.287944,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.057444,5.288139,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.057361,5.287583,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.05775,5.289056,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.057806,5.289111,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.058944,5.28525,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.059222,5.285028,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.059667,5.284694,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.060083,5.28425,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.06075,5.284,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.058722,5.282889,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.058972,5.282611,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.059389,5.28225,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.060139,5.281917,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15000.9,,15129,15003,95.2,139.1,1441.2
-3.0555,5.282583,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.055694,5.28175,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15000.9,,15129,15003,95.2,139.1,1441.2
-3.055806,5.281611,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15000.9,,15129,15003,95.2,139.1,1441.2
-3.056111,5.281056,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15000.9,,15129,15003,95.2,139.1,1441.2
-3.055833,5.280028,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14690,15000.9,,15129,15003,95.2,139.1,1441.2
-3.053417,5.280444,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14693,15038.3333333333,,15138,15027,95.2,139.1,1441.2
-3.053583,5.279417,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14693,15038.3333333333,,15138,15027,95.2,139.1,1441.2
-3.053528,5.278639,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14693,15038.3333333333,,15138,15027,95.2,139.1,1441.2
-3.053556,5.278,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14693,15038.3333333333,,15138,15027,95.2,139.1,1441.2
-3.051194,5.281722,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14693,15038.3333333333,,15138,15027,95.2,139.1,1441.2
-3.051139,5.281111,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14693,15038.3333333333,,15138,15027,95.2,139.1,1441.2
-3.051194,5.281028,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14693,15038.3333333333,,15138,15027,95.2,139.1,1441.2
-3.050222,5.278389,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14693,15038.3333333333,,15138,15027,95.2,139.1,1441.2
-3.051222,5.278806,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14693,15038.3333333333,,15138,15027,95.2,139.1,1441.2
